"folder","formation","image","ext","imageName","specimenNR","number","colonyCurve","pictureNumber","AV","magnification","backscatter"
"Sara","NKLS","545_CV_1_15v_x30_BSE.tif","tif","545_CV_1_15v_x30_BSE_NKLS","545CV","545","CV","1","15v","x30","BSE"
"Sara","NKLS","545_CV_1_15v_x30_BSE.txt","txt","545_CV_1_15v_x30_BSE_NKLS","545CV","545","CV","1","15v","x30","BSE"
"Sara","NKLS","545_CV_2_15v_x30_BSE.tif","tif","545_CV_2_15v_x30_BSE_NKLS","545CV","545","CV","2","15v","x30","BSE"
"Sara","NKLS","545_CV_2_15v_x30_BSE.txt","txt","545_CV_2_15v_x30_BSE_NKLS","545CV","545","CV","2","15v","x30","BSE"
"Sara","NKLS","546_CC_1_15v_x30_BSE.tif","tif","546_CC_1_15v_x30_BSE_NKLS","546CC","546","CC","1","15v","x30","BSE"
"Sara","NKLS","546_CC_1_15v_x30_BSE.txt","txt","546_CC_1_15v_x30_BSE_NKLS","546CC","546","CC","1","15v","x30","BSE"
"Sara","NKLS","546_CC_2_15v_x30_BSE.tif","tif","546_CC_2_15v_x30_BSE_NKLS","546CC","546","CC","2","15v","x30","BSE"
"Sara","NKLS","546_CC_2_15v_x30_BSE.txt","txt","546_CC_2_15v_x30_BSE_NKLS","546CC","546","CC","2","15v","x30","BSE"
"Sara","NKLS","547_CV_1_15v_x30_BSE.tif","tif","547_CV_1_15v_x30_BSE_NKLS","547CV","547","CV","1","15v","x30","BSE"
"Sara","NKLS","547_CV_1_15v_x30_BSE.txt","txt","547_CV_1_15v_x30_BSE_NKLS","547CV","547","CV","1","15v","x30","BSE"
"Sara","NKLS","547_CV_2_15v_x30_BSE.tif","tif","547_CV_2_15v_x30_BSE_NKLS","547CV","547","CV","2","15v","x30","BSE"
"Sara","NKLS","547_CV_2_15v_x30_BSE.txt","txt","547_CV_2_15v_x30_BSE_NKLS","547CV","547","CV","2","15v","x30","BSE"
"Sara","NKLS","548_CV_1_15v_x30_BSE.tif","tif","548_CV_1_15v_x30_BSE_NKLS","548CV","548","CV","1","15v","x30","BSE"
"Sara","NKLS","548_CV_1_15v_x30_BSE.txt","txt","548_CV_1_15v_x30_BSE_NKLS","548CV","548","CV","1","15v","x30","BSE"
"Sara","NKLS","548_CV_2_15v_x30_BSE.tif","tif","548_CV_2_15v_x30_BSE_NKLS","548CV","548","CV","2","15v","x30","BSE"
"Sara","NKLS","548_CV_2_15v_x30_BSE.txt","txt","548_CV_2_15v_x30_BSE_NKLS","548CV","548","CV","2","15v","x30","BSE"
"Sara","NKLS","549_CV_1_15v_x30_BSE.tif","tif","549_CV_1_15v_x30_BSE_NKLS","549CV","549","CV","1","15v","x30","BSE"
"Sara","NKLS","549_CV_1_15v_x30_BSE.txt","txt","549_CV_1_15v_x30_BSE_NKLS","549CV","549","CV","1","15v","x30","BSE"
"Sara","NKLS","549_CV_2_15v_x30_BSE.tif","tif","549_CV_2_15v_x30_BSE_NKLS","549CV","549","CV","2","15v","x30","BSE"
"Sara","NKLS","549_CV_2_15v_x30_BSE.txt","txt","549_CV_2_15v_x30_BSE_NKLS","549CV","549","CV","2","15v","x30","BSE"
"Sara","NKLS","550_CV_1_15v_x30_BSE.tif","tif","550_CV_1_15v_x30_BSE_NKLS","550CV","550","CV","1","15v","x30","BSE"
